time,progress,result,artist_name,pixiv_id,artwork_count,file_count,update_status,folder_path,error_message
20:58:01,-,정보,스캔 시작: C:/Users/Owner/Downloads/pixiv,-,-,-,-,-,-
20:58:06,1/38,오류,(꼴),-,-,-,-,C:\Users\Owner\Downloads\pixiv\(꼴),이미지 파일이 없습니다. 스캔에서 제외합니다.
20:58:06,2/38,오류,(애매),-,-,-,-,C:\Users\Owner\Downloads\pixiv\(애매),이미지 파일이 없습니다. 스캔에서 제외합니다.
20:58:06,3/38,오류,(임시),-,-,-,-,C:\Users\Owner\Downloads\pixiv\(임시),Pixiv ID가 없습니다. 스캔에서 제외합니다.
20:58:06,-,경고,이미 등록된 Pixiv ID,-,-,-,-,C:\Users\Owner\Downloads\pixiv,이미 등록된 Pixiv ID 35개를 발견했습니다. 해당 항목은 기존 작가 정보 갱신 대상으로 처리합니다.
20:58:06,-,정보,스캔 대상 작가 폴더: 35개,-,-,-,-,-,-
20:58:06,1/35,변경 없음,( ᐛ )ｶﾜｲｿｳﾆ,119340610,30,416,need_update,C:\Users\Owner\Downloads\pixiv\(임시)\( ᐛ )ｶﾜｲｿｳﾆ-119340610,-
20:58:07,2/35,업데이트,04,115273840,508,10982,need_update,C:\Users\Owner\Downloads\pixiv\(임시)\04-115273840,-
20:58:07,3/35,변경 없음,5p2,6447236,162,2771,need_update,C:\Users\Owner\Downloads\pixiv\(임시)\5p2-6447236,-
20:58:07,4/35,변경 없음,ASNMN,108328712,36,607,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\ASNMN-108328712,-
20:58:08,5/35,업데이트,Asukaaa,103556073,830,10006,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\Asukaaa-103556073,-
20:58:08,6/35,변경 없음,daifukumaru,120682291,131,2494,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\daifukumaru-120682291,-
20:58:08,7/35,변경 없음,EDF战斗员,116223287,131,280,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\EDF战斗员-116223287,-
20:58:09,8/35,변경 없음,FA,117026932,109,2633,need_update,C:\Users\Owner\Downloads\pixiv\(임시)\FA-117026932,-
20:58:09,9/35,변경 없음,huyyq232,118185024,139,831,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\huyyq232-118185024,-
20:58:10,10/35,업데이트,Latte,14911546,240,8472,need_update,C:\Users\Owner\Downloads\pixiv\(임시)\Latte-14911546,-
20:58:10,11/35,변경 없음,LC666,23687911,382,4087,need_update,C:\Users\Owner\Downloads\pixiv\(임시)\LC666-23687911,-
20:58:10,12/35,변경 없음,LITTESSL,122061878,94,234,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\LITTESSL-122061878,-
20:58:10,13/35,변경 없음,Luka45,115577578,224,4387,need_update,C:\Users\Owner\Downloads\pixiv\(임시)\Luka45-115577578,-
20:58:11,14/35,변경 없음,M,75260943,73,1516,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\M-75260943,-
20:58:11,15/35,변경 없음,mP2o,46445858,13,386,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\mP2o-46445858,-
20:58:11,16/35,변경 없음,MSK@水曜日東B05ab,2864095,464,490,up_to_date,C:\Users\Owner\Downloads\pixiv\(임시)\MSK@水曜日東B05ab-2864095,-
20:58:12,17/35,변경 없음,Oki Senpai,113289403,439,14597,need_update,C:\Users\Owner\Downloads\pixiv\(임시)\Oki Senpai-113289403,-
